micros,ax,ay
7020037,0.6877,0.2050
7027990,0.7284,-0.0509
7036034,0.6786,-0.2037
7043989,0.6262,-0.4855
7052033,0.5421,-0.7636
7060004,0.4895,-0.7796
7068108,0.3680,-0.8374
7076066,0.1710,-0.8988
7084078,-0.0423,-0.9683
7092087,-0.1714,-0.9811
7100038,-0.3614,-0.9205
7108152,-0.6107,-0.8323
7116060,-0.7961,-0.7611
7123983,-0.8003,-0.7607
7132093,-0.8071,-0.6821
7139982,-0.8172,-0.5779
7148092,-0.8478,-0.4282
7155997,-0.8911,-0.2271
7164018,-0.9486,-0.0459
7172014,-0.9488,0.0289
7180229,-0.9024,0.2430
7188020,-0.7387,0.6487
7195993,-0.4807,0.7903
7204027,-0.2507,0.8629
7212009,-0.0576,0.9130
7220019,0.0987,0.8770
7227977,0.2573,0.8195
7236031,0.4214,0.7548
7244017,0.5549,0.6884
7252043,0.5964,0.5875
7259982,0.6287,0.3898
7268022,0.7025,0.1422
7275984,0.7201,-0.0561
7284023,0.6934,-0.1548
7291990,0.6442,-0.3789
7300024,0.5736,-0.7320
7307987,0.5552,-0.7607
7316017,0.5085,-0.7668
7323999,0.4060,-0.8131
7332036,0.2646,-0.8665
7339986,0.0859,-0.9239
7348006,-0.1009,-0.9852
7355990,-0.2251,-0.9625
7364002,-0.4336,-0.8916
7372016,-0.7213,-0.7937
7380220,-0.7986,-0.7616
7388011,-0.8151,-0.6421
7395979,-0.8394,-0.4721
7403999,-0.8968,-0.2510
7411982,-0.9584,-0.0229
7420013,-0.9612,-0.0113
7427983,-0.9419,0.0507
7436013,-0.8776,0.3157
7443977,-0.7464,0.7020
7452033,-0.6321,0.7393
7459979,-0.4640,0.7904
7467998,-0.2108,0.8736
7475962,-0.0424,0.9123
7484016,0.0923,0.8785
7491976,0.2417,0.8256
7500014,0.4199,0.7552
7507972,0.5569,0.6880
7516010,0.6051,0.5470
7523963,0.6347,0.3449
7532029,0.7109,0.1130
7539983,0.7307,-0.0708
7548134,0.6974,-0.2117
7555989,0.6370,-0.4921
7563976,0.5536,-0.7619
7572020,0.4930,-0.7787
7580262,0.3495,-0.8368
7588004,0.1456,-0.9083
7595964,-0.0919,-0.9862
7604007,-0.2487,-0.9621
7611974,-0.5087,-0.8756
7619998,-0.8028,-0.7689
7627955,-0.8121,-0.7354
